5 67.17 75  97.88 0.00011888138555866464
5 67.17 76  97.89 3.163482816882753e-5
5 67.17 77  97.92 3.798537810934546e-5
5 67.17 78  97.96 0.00010594096873990855
5 67.17 79  97.98 5.257381123589978e-5
5 67.17 80  97.98 0.00014858522180176707
5 67.17 81  98.01 8.712402273895684e-5
5 67.17 82  98.02 9.374441556519829e-5
5 67.17 83  105.71 1.2202890197393917e-5
5 67.17 84  105.81 7.767000631625174e-6
5 67.17 85  105.85 8.557948758144662e-6
5 67.17 86  131.81 0.00011582239004891999
5 67.17 87  131.86 8.945333471640189e-5
5 67.17 88  131.88 0.0005866898626053489
5 67.17 89  131.89 0.0002777074323866415
5 67.17 90  131.9 0.0004021842749613967
5 67.17 91  131.91 0.00037997788834295376
5 67.17 92  131.94 0.0002668568738479976
5 67.17 93  131.95 0.0003229279227817883
5 67.17 94  131.96 0.0007623549273044156
5 67.17 95  132.09 0.00012938095862329352
5 67.17 96  132.11 0.0005066814010138408
5 67.17 97  132.14 0.0002754255216132485
5 67.17 98  132.15 0.00015478681064097364
5 67.17 99  132.18 5.899266091347002e-5
5 67.17 100  133.52 0.0014817164710068604
6 67.18 6  0.0 3.9678888484103677e-7
6 67.18 7  0.02 1.3882344330167044e-5
6 67.18 8  2.45 0.011413183250784251
6 67.18 9  2.47 0.01551170345829599
6 67.18 10  2.5 0.0075196204918927465
6 67.18 11  2.5 0.015681984266879334
6 67.18 12  2.58 0.016842512864665725
6 67.18 13  24.22 0.07343174516624067
6 67.18 14  24.25 0.0690396039324796
6 67.18 15  24.25 0.03529628612244687
6 67.18 16  24.25 0.04998691017920777
6 67.18 17  24.27 0.05958656443679837
6 67.18 18  26.16 0.009848359382333539
6 67.18 19  26.19 0.007485174535904015
6 67.18 20  26.23 0.007942052914264293
6 67.18 21  26.24 0.009617521615641285
6 67.18 22  26.25 0.004475034536756375
6 67.18 23  26.88 0.07640436667372688
6 67.18 24  32.84 0.08516425743799903
6 67.18 25  32.87 0.0788572423880842
6 67.18 26  32.92 0.09024455899424694
6 67.18 27  61.67 3.560703982916632e-5
6 67.18 28  61.67 1.8319589635055153e-5
6 67.18 29  61.7 1.2231371776780141e-5
6 67.18 30  61.7 3.639289881731595e-5
6 67.18 31  61.71 4.577614682114684e-5
6 67.18 32  61.73 2.043953680342922e-5
6 67.18 33  61.74 1.9065102650346137e-5
6 67.18 34  65.97 0.008255782106041984
6 67.18 35  66.09 0.005484443771912788
6 67.18 36  66.1 0.0034834650301218484
6 67.18 37  66.14 0.0034586342150431026
6 67.18 38  66.15 0.002836395310691775
6 67.18 39  67.43 0.00025119754901845997
6 67.18 40  67.51 0.0002752348933910658
6 67.18 41  67.52 0.0002847803042627239
6 67.18 42  70.33 0.0007807210690400118
6 67.18 43  70.35 0.0012096022496607848
6 67.18 44  70.36 0.0022220817925343514
6 67.18 45  70.39 0.001006215829981101
6 67.18 46  70.4 0.0002573565886552175
6 67.18 47  72.23 0.014495341049845109
6 67.18 48  76.79 0.01947801391718968
6 67.18 49  76.81 0.012552475632194665
6 67.18 50  76.83 0.03933699095914811
6 67.18 51  76.85 0.036652215761333755
6 67.18 52  76.87 0.023982980150920555
6 67.18 53  86.2 0.00012421198597292315
6 67.18 54  86.25 3.820465487780989e-5
6 67.18 55  86.26 0.00013585685140324094
6 67.18 56  86.27 6.718273562052904e-5
6 67.18 57  86.3 3.8250577692158834e-5
6 67.18 58  86.31 9.87624101826014e-5
6 67.18 59  86.34 9.587567440918248e-5
6 67.18 60  91.77 0.00010016618449436773
6 67.18 61  91.79 0.0003455313658436442
6 67.18 62  91.84 0.0004334810816409561
6 67.18 63  93.3 0.006060881303145716
6 67.18 64  93.33 0.0027622272295607774
6 67.18 65  93.33 0.009209101005673329
6 67.18 66  93.33 0.00593598270066281
6 67.18 67  93.36 0.002546573577080707
6 67.18 68  95.26 1.3385651661036534e-5
6 67.18 69  95.27 3.344387578420022e-6
6 67.18 70  95.29 9.567201028692258e-6
6 67.18 71  95.33 7.570789984873731e-6
6 67.18 72  95.34 1.223818342307221e-5
6 67.18 73  95.35 7.628844530021054e-6
6 67.18 74  95.38 1.4617485036537328e-5
6 67.18 75  97.87 0.00010988626751190835
6 67.18 76  97.88 5.1029892990691974e-5
6 67.18 77  97.91 7.15729496876574e-5
6 67.18 78  97.95 0.00010107100667157132
6 67.18 79  97.97 7.982737713241024e-5
6 67.18 80  97.97 0.00011771601946627784
6 67.18 81  98.0 9.361124732414467e-5
6 67.18 82  98.01 8.372189052904408e-5
6 67.18 83  105.7 1.979871131832672e-5
6 67.18 84  105.8 2.4826575744118084e-6
6 67.18 85  105.84 7.549885519454877e-6
6 67.18 86  131.79 5.358719681770784e-5
6 67.18 87  131.84 5.304226860280113e-5
6 67.18 88  131.87 0.000510703181003729
6 67.18 89  131.88 0.00035019264190938484
6 67.18 90  131.89 0.00026888616974063515
