5 67.27 23  26.87 0.09542124974906181
5 67.27 24  32.89 0.13813301703238315
5 67.27 25  32.89 0.05709482637941406
5 67.27 26  32.89 0.08885337478659903
5 67.27 27  61.75 5.959106810665671e-29
5 67.27 28  61.75 2.787675536114466e-29
5 67.27 29  61.75 4.3563835785822426e-29
5 67.27 30  61.75 6.405983016202766e-29
5 67.27 31  61.75 3.256683951757347e-29
5 67.27 32  61.75 1.315300307882584e-29
5 67.27 33  61.75 2.7904172994449816e-29
5 67.27 34  66.16 0.0036228178582944667
5 67.27 35  66.16 0.008093059775834972
5 67.27 36  66.16 0.012932240299725563
5 67.27 37  66.16 0.009068000957666994
5 67.27 38  66.16 0.004422421755069421
5 67.27 39  67.51 9.32003793001478e-30
5 67.27 40  67.51 2.898972608859724e-28
5 67.27 41  67.51 1.396083906967892e-28
5 67.27 42  70.41 2.080816443659985e-28
5 67.27 43  70.41 7.813808753426075e-29
5 67.27 44  70.41 7.352804997759707e-29
5 67.27 45  70.41 3.593597990299943e-29
5 67.27 46  70.41 1.830103317403114e-28
5 67.27 47  72.29 0.010535591407620776
5 67.27 48  76.89 0.04546698139066275
5 67.27 49  76.89 0.023380739493203198
5 67.27 50  76.89 0.026640749510001022
5 67.27 51  76.89 0.033523680135629494
5 67.27 52  76.89 0.020697633847269505
5 67.27 53  86.32 1.873207738365835e-30
5 67.27 54  86.32 1.801741210609412e-30
5 67.27 55  86.32 1.496318854512697e-29
5 67.27 56  86.32 1.1145869586119133e-29
5 67.27 57  86.32 2.0539921498606754e-31
5 67.27 58  86.32 5.1831751372959735e-30
5 67.27 59  86.32 9.502179528397396e-30
5 67.27 60  91.85 1.432124784979766e-5
5 67.27 61  91.85 8.669052706422275e-6
5 67.27 62  91.85 1.056217837277557e-5
5 67.27 63  93.37 0.005477297667289603
5 67.27 64  93.37 0.017006920970818257
5 67.27 65  93.37 0.004192070660937248
5 67.27 66  93.37 0.006765139915936523
5 67.27 67  93.37 0.0035617314090814088
5 67.27 68  95.37 2.060521479594963e-29
5 67.27 69  95.37 1.662532243512044e-29
5 67.27 70  95.37 4.894414131121938e-30
5 67.27 71  95.37 3.951612211826593e-29
5 67.27 72  95.37 6.179117488653386e-29
5 67.27 73  95.37 4.1117593095293034e-30
5 67.27 74  95.37 4.110467881701062e-28
5 67.27 75  97.97 2.6900152144615293e-30
5 67.27 76  97.97 1.8774846746355034e-30
5 67.27 77  97.97 2.842362866140069e-30
5 67.27 78  98.05 1.741058701554207e-30
5 67.27 79  98.05 3.255908495736579e-30
5 67.27 80  98.05 1.4993047925860323e-29
5 67.27 81  98.05 4.635168875057187e-29
5 67.27 82  98.05 7.57107272976691e-30
5 67.27 83  105.85 1.4769833289965348e-29
5 67.27 84  105.85 5.687306233987578e-30
5 67.27 85  105.85 2.5569671006297282e-30
5 67.27 86  131.95 6.718338089290737e-32
5 67.27 87  131.95 1.174190057315655e-31
5 67.27 88  131.95 3.008492587933423e-32
5 67.27 89  131.95 1.794172216001291e-31
5 67.27 90  131.95 1.3012805687887495e-31
5 67.27 91  131.95 3.1887789801652347e-31
5 67.27 92  131.95 1.2540280555156438e-30
5 67.27 93  131.95 1.1902654412226379e-30
5 67.27 94  131.95 1.2827873726602408e-30
5 67.27 95  132.19 1.8441810326337675e-29
5 67.27 96  132.19 5.267049550343935e-30
5 67.27 97  132.19 4.605163723211058e-30
5 67.27 98  132.19 3.0249979387091815e-30
5 67.27 99  132.19 6.201849561393897e-30
5 67.27 100  133.65 6.737905755501443e-5
6 67.27 6  0.0 1.12358778028152e-30
6 67.27 7  0.0 2.6978846118776892e-30
6 67.27 8  2.5 8.739015158137941e-5
6 67.27 9  2.5 0.0002597164224509759
6 67.27 10  2.5 0.0002071834861085491
6 67.27 11  2.5 0.00029226674537568024
6 67.27 12  2.5 0.00023693826913489814
6 67.27 13  24.27 0.08048474321741465
6 67.27 14  24.27 0.061624492348277445
6 67.27 15  24.27 0.06216100709527013
6 67.27 16  24.27 0.10454179408905945
6 67.27 17  24.27 0.04408859829647953
6 67.27 18  26.24 7.71566577998935e-26
6 67.27 19  26.24 1.3919075369479156e-28
6 67.27 20  26.24 1.3885172099155707e-27
6 67.27 21  26.24 8.850197454151618e-28
6 67.27 22  26.24 2.3090556296523527e-28
6 67.27 23  26.87 0.09542124974907228
6 67.27 24  32.89 0.11604580808900532
6 67.27 25  32.89 0.10313492681774017
6 67.27 26  32.89 0.07300228424410288
6 67.27 27  61.75 9.504322542455797e-30
6 67.27 28  61.75 3.1899523926708794e-29
6 67.27 29  61.75 8.04540557727368e-30
6 67.27 30  61.75 1.660529927626479e-29
6 67.27 31  61.75 2.2270579549510502e-30
6 67.27 32  61.75 2.5233411695045602e-30
6 67.27 33  61.75 1.1587578420549097e-30
6 67.27 34  66.16 0.007321860732467861
6 67.27 35  66.16 0.005527353235756613
6 67.27 36  66.16 0.004027186531290643
6 67.27 37  66.16 0.009863326901855927
6 67.27 38  66.16 0.012416209548146016
6 67.27 39  67.51 2.37954689643016e-29
6 67.27 40  67.51 2.784689452752811e-28
6 67.27 41  67.51 1.2349258178221455e-28
6 67.27 42  70.41 7.887045912964256e-29
6 67.27 43  70.41 1.0632953800584445e-28
6 67.27 44  70.41 1.2613624332312056e-29
6 67.27 45  70.41 2.1313636187548716e-29
6 67.27 46  70.41 6.942333864403024e-29
6 67.27 47  72.29 0.010535591407621704
6 67.27 48  76.89 0.02477969121011911
6 67.27 49  76.89 0.040838675096557114
6 67.27 50  76.89 0.028134664057467104
6 67.27 51  76.89 0.039286342424743964
6 67.27 52  76.89 0.036798076114503184
6 67.27 53  86.32 1.1880086042730464e-30
6 67.27 54  86.32 3.63632042843032e-30
6 67.27 55  86.32 2.7051096584456587e-29
6 67.27 56  86.32 6.580149058144954e-30
6 67.27 57  86.32 6.923764929343784e-31
6 67.27 58  86.32 7.775625850394583e-30
6 67.27 59  86.32 1.5361288326491143e-29
6 67.27 60  91.85 9.334677413871597e-6
6 67.27 61  91.85 1.0479407822291834e-5
6 67.27 62  91.85 1.3922312339575478e-5
6 67.27 63  93.37 0.010341073685589244
6 67.27 64  93.37 0.00111285959631179
6 67.27 65  93.37 0.005121535303014404
6 67.27 66  93.37 0.0065873450356861585
6 67.27 67  93.37 0.013672111193433574
6 67.27 68  95.37 5.1560654476960875e-30
6 67.27 69  95.37 2.2013996049882193e-30
6 67.27 70  95.37 1.563957765917118e-30
6 67.27 71  95.37 4.625901396692281e-29
6 67.27 72  95.37 1.1690261243785575e-28
6 67.27 73  95.37 2.6287353371035606e-30
6 67.27 74  95.37 1.3157709774408603e-28
6 67.27 75  97.97 1.6537397637076207e-30
6 67.27 76  97.97 6.904057252788212e-30
6 67.27 77  97.97 3.967093492748991e-30
6 67.27 78  98.05 9.264466339756329e-31
6 67.27 79  98.05 9.943756090832373e-30
6 67.27 80  98.05 3.965320013078548e-30
6 67.27 81  98.05 8.269644724729166e-29
6 67.27 82  98.05 7.271934911860071e-30
6 67.27 83  105.85 1.6376731196768395e-30
6 67.27 84  105.85 1.2560589148762847e-30
6 67.27 85  105.85 3.603463776500852e-30
6 67.27 86  131.95 4.6735044466505e-32
6 67.27 87  131.95 5.226956032545493e-32
6 67.27 88  131.95 4.5230778247520485e-32
6 67.27 89  131.95 2.1714325018050718e-31
6 67.27 90  131.95 2.873812035215706e-31
6 67.27 91  131.95 4.36328641182188e-31
6 67.27 92  131.95 1.9084397908666564e-30
6 67.27 93  131.95 4.374553387933127e-31
6 67.27 94  131.95 9.308979750030996e-31
6 67.27 95  132.19 1.88214559473076e-30
6 67.27 96  132.19 1.156596442457836e-30
6 67.27 97  132.19 8.323822122931705e-31
6 67.27 98  132.19 1.4562685474073871e-30
6 67.27 99  132.19 1.4434162015314966e-31
6 67.27 100  133.65 6.201609950811197e-5
7 67.27 7  0.0 1.388836744703132e-29
7 67.27 8  2.5 0.0003239036738347345
7 67.27 9  2.5 0.00011392681663365955
7 67.27 10  2.5 0.00025961303021579033
7 67.27 11  2.5 0.00025311786826917224
7 67.27 12  2.5 0.00013627151762829806
7 67.27 13  24.27 0.08461355333120898
7 67.27 14  24.27 0.04392859650558815
7 67.27 15  24.27 0.09014981705997185
7 67.27 16  24.27 0.011794147079119724
7 67.27 17  24.27 0.09611676379322533
7 67.27 18  26.24 6.977403068552786e-26
7 67.27 19  26.24 1.1950737014391933e-28
7 67.27 20  26.24 1.30832478432244e-28
7 67.27 21  26.24 2.8006799230504366e-28
7 67.27 22  26.24 3.5525248076831243e-28
7 67.27 23  26.87 0.0954212497490659
7 67.27 24  32.89 0.030527072198185717
7 67.27 25  32.89 0.12384483221417589
7 67.27 26  32.89 0.1254339193907058
7 67.27 27  61.75 5.665242507867412e-30
7 67.27 28  61.75 5.186408637224033e-29
7 67.27 29  61.75 5.502837748212117e-30
7 67.27 30  61.75 1.0254126373304057e-29
7 67.27 31  61.75 4.328394378683547e-30
7 67.27 32  61.75 3.292132350460362e-30
7 67.27 33  61.75 5.650974538893192e-30
7 67.27 34  66.16 0.012210791206055043
7 67.27 35  66.16 0.0097654722363856
7 67.27 36  66.16 0.00613240152650694
