6 61.0 96  110.4 6.576023460940311e-7
6 61.0 97  110.4 2.1032114016318466e-6
6 61.0 98  111.07 7.66048514859806e-6
6 61.0 99  111.07 4.618695048052555e-19
6 61.0 100  111.07 7.668931453551163e-6
7 61.0 7  0.0 8.053912618956238e-10
7 61.0 8  6.27 0.00014464274104779206
7 61.0 9  6.27 0.002295125286728557
7 61.0 10  6.64 1.0330588826268893e-5
7 61.0 11  6.64 1.036095314146764e-5
7 61.0 12  6.64 8.437015377875399e-19
7 61.0 13  23.95 0.10090829063190691
7 61.0 14  23.95 0.10090650018907771
7 61.0 15  23.95 1.0899222437287786e-12
7 61.0 16  25.54 0.007284751849290314
7 61.0 17  25.54 0.12229555853970621
7 61.0 18  25.95 0.09061561957966816
7 61.0 19  28.98 3.4783801747358246e-10
7 61.0 20  28.98 2.753925551499721e-7
7 61.0 21  32.43 1.9923081891193828e-17
7 61.0 22  32.43 0.00010267818111401385
7 61.0 23  32.43 9.714303142528024e-11
7 61.0 24  32.47 0.13558752763256948
7 61.0 25  32.47 0.13569044161809948
7 61.0 26  32.47 9.470352467148688e-15
7 61.0 27  53.97 1.1266388213089122e-8
7 61.0 28  55.11 8.995332148054241e-9
7 61.0 29  55.11 7.41404477733823e-8
7 61.0 30  55.11 6.594247363933058e-22
7 61.0 31  55.32 5.80321886794158e-8
7 61.0 32  55.32 5.950151740762664e-8
