4 32.76 60  115.85 8.614795787758074e-31
4 32.76 61  115.85 1.408101428646567e-29
4 32.76 62  115.85 2.68156744895401e-29
4 32.76 63  115.85 1.7616899172137816e-29
4 32.76 64  115.85 2.212734152093647e-29
4 32.76 65  115.85 1.2687021587543257e-30
4 32.76 66  115.85 7.932053509904214e-30
4 32.76 67  119.98 3.6445090114205705e-29
4 32.76 68  119.98 4.6691374632717956e-29
4 32.76 69  119.98 3.526956066715226e-29
4 32.76 70  123.52 3.430793758307187e-27
4 32.76 71  123.52 2.8206557403579327e-27
4 32.76 72  123.52 9.920332424474702e-27
4 32.76 73  123.52 3.139208364908319e-27
4 32.76 74  123.52 2.8951627004162044e-27
4 32.76 75  123.52 2.283359818174802e-27
4 32.76 76  123.52 2.08662031912361e-27
4 32.76 77  123.71 0.0003892217312744232
4 32.76 78  123.71 0.0004084580809613424
4 32.76 79  123.71 0.00011095562984263093
4 32.76 80  124.83 0.014268503330465355
4 32.76 81  124.83 0.00845048311565903
4 32.76 82  124.83 0.013366584335693153
4 32.76 83  124.83 0.008606359615954842
4 32.76 84  124.83 0.010573898445236629
4 32.76 85  127.18 6.508975880319235e-29
4 32.76 86  127.18 3.2866404513826916e-28
4 32.76 87  127.18 2.0438608713522674e-29
4 32.76 88  127.18 7.170271699242068e-28
4 32.76 89  127.18 1.598876009669486e-28
4 32.76 90  128.91 8.931080185558965e-29
4 32.76 91  128.91 8.201008814291561e-29
4 32.76 92  128.91 3.010795279749456e-29
4 32.76 93  143.03 8.94529910704551e-31
4 32.76 94  143.03 1.3988898158557943e-31
4 32.76 95  143.03 1.0578837875701727e-30
4 32.76 96  143.03 5.167104784278704e-32
4 32.76 97  143.03 1.4539327535239972e-32
4 32.76 98  143.03 1.2707482692795573e-29
4 32.76 99  143.03 8.533724564560076e-31
4 32.76 100  143.03 8.977595091065519e-34
5 66.74 5  0.0 3.466466045161299e-28
5 66.74 6  0.0 1.8954117954226473e-28
5 66.74 7  0.0 8.180594864765688e-29
5 66.74 8  1.09 0.00016124702930268603
5 66.74 9  1.09 8.566634826105417e-5
5 66.74 10  1.09 0.00010944309986257978
5 66.74 11  1.09 8.644735697775994e-5
5 66.74 12  1.09 0.00011786575233888548
5 66.74 13  22.62 0.04038030251302491
5 66.74 14  22.62 0.08024777231807906
5 66.74 15  22.62 0.028040857758069315
5 66.74 16  22.62 0.07787630693395901
5 66.74 17  22.62 0.04941337939757458
5 66.74 18  24.44 0.09153454466256196
5 66.74 19  25.41 1.0085153805546803e-25
5 66.74 20  25.41 5.578548974635541e-26
5 66.74 21  25.41 8.271307759541744e-26
5 66.74 22  25.41 6.381064738996213e-26
5 66.74 23  25.41 5.0793820394693887e-26
5 66.74 24  33.23 0.1128454058033891
5 66.74 25  33.23 0.11057288669713317
5 66.74 26  33.23 0.05920088760451242
5 66.74 27  52.83 4.1672544867315486e-26
5 66.74 28  52.83 4.695355079710078e-26
5 66.74 29  52.83 1.3115838021780706e-26
5 66.74 30  52.83 2.2429315235189494e-26
5 66.74 31  52.83 3.798631356737635e-26
5 66.74 32  52.83 1.467378553381495e-26
5 66.74 33  52.83 6.395147633779815e-26
5 66.74 34  60.97 0.0009367819038661656
5 66.74 35  60.97 0.00031505738485460846
5 66.74 36  60.97 0.0017358268395782277
5 66.74 37  60.97 0.0010325249453135915
5 66.74 38  60.97 0.0009975779867244041
5 66.74 39  63.07 6.797826699544168e-29
5 66.74 40  63.07 4.860590102956522e-29
5 66.74 41  63.07 5.107549360894468e-29
5 66.74 42  66.28 0.014766809379500628
5 66.74 43  68.01 9.006051903797537e-27
5 66.74 44  68.01 5.089445789509783e-27
5 66.74 45  68.01 4.7119179631552904e-27
5 66.74 46  68.01 1.6616252535425166e-26
5 66.74 47  68.01 7.076416125088676e-27
5 66.74 48  73.78 0.04602990997079719
5 66.74 49  73.78 0.01575222165012544
5 66.74 50  73.78 0.043396373567542695
5 66.74 51  73.78 0.05652584151604191
5 66.74 52  73.78 0.03448222885153995
5 66.74 53  79.06 2.750883816307204e-27
5 66.74 54  79.06 1.1842195016106031e-26
5 66.74 55  79.06 7.679238099455285e-27
5 66.74 56  79.06 4.422834209698905e-27
