9 3.77 34  40.8 0.002504799350112452
9 3.77 35  40.8 0.0013672820034794045
9 3.77 36  40.8 0.002250849493330467
9 3.77 37  40.8 0.0021729438731282824
9 3.77 38  40.8 0.0022672836231035177
9 3.77 39  40.8 0.002274891779779449
9 3.77 40  40.8 0.0023515883588523467
9 3.77 41  40.8 0.0024354101575735482
9 3.77 42  40.8 0.002440008357270483
9 3.77 43  40.8 0.0024297371288960245
9 3.77 44  40.8 0.0019715277681948
9 3.77 45  40.8 0.003288192426935786
9 3.77 46  40.8 0.0031343733836218047
9 3.77 47  40.8 0.0033048885934028735
9 3.77 48  40.8 0.0012244210117999506
9 3.77 49  40.8 0.0018063821974686365
9 3.77 50  40.8 0.00018527420175033852
9 3.77 51  40.8 0.0012703324570671702
9 3.77 52  40.8 0.0018123002975339152
9 3.77 53  40.8 0.0009110494139999408
9 3.77 54  40.8 0.0008714570784937816
9 3.77 55  40.8 0.00031132005019983617
9 3.77 56  40.8 0.00022216984838318467
9 3.77 57  40.8 0.0016088813940747626
9 3.77 58  47.42 0.0038963117841469947
9 3.77 59  47.42 0.006776462387585518
9 3.77 60  47.42 0.00648342436677847
9 3.77 61  47.42 0.00760713815385439
9 3.77 62  47.42 0.003383928271166292
10 3.77 10  0.0 0.06084687484990399
10 3.77 11  0.0 0.031192885382641727
10 3.77 12  0.0 0.03168156521776159
10 3.77 13  0.0 0.018915986382270794
10 3.77 14  0.0 0.03814139211238709
10 3.77 15  3.48 0.006874260562727851
10 3.77 16  3.48 0.02028737463095678
10 3.77 17  3.48 0.03612158938935302
10 3.77 18  3.48 0.010943675598757521
10 3.77 19  3.48 0.008426899669010536
10 3.77 20  40.8 0.0007243337627431359
10 3.77 21  40.8 0.0017398700660729686
10 3.77 22  40.8 0.0007424283068628257
10 3.77 23  40.8 0.0006241243345914756
10 3.77 24  40.8 0.0035382023852426024
10 3.77 25  40.8 0.00226424790206826
10 3.77 26  40.8 0.0009078131675708948
10 3.77 27  40.8 0.0008623321372032825
10 3.77 28  40.8 0.0009190980122220501
10 3.77 29  40.8 0.0007999735071856522
10 3.77 30  40.8 0.0008006781381544923
10 3.77 31  40.8 0.0009096708555098658
10 3.77 32  40.8 0.0009234792103481404
10 3.77 33  40.8 0.0008458134498209664
10 3.77 34  40.8 0.0009875819082416485
10 3.77 35  40.8 0.0025152799242733133
10 3.77 36  40.8 0.001055790297205844
10 3.77 37  40.8 0.0008785023325060411
10 3.77 38  40.8 0.0008406554119709459
10 3.77 39  40.8 0.0008228976668693895
10 3.77 40  40.8 0.0008525983054150367
10 3.77 41  40.8 0.0008320233455659088
10 3.77 42  40.8 0.0009208260131472125
10 3.77 43  40.8 0.0008419411575715172
10 3.77 44  40.8 0.0019947715498060082
10 3.77 45  40.8 0.002592478330759663
10 3.77 46  40.8 0.002845868465649667
10 3.77 47  40.8 0.0034780032388594365
